DIMENSION : 17891
MAX_TRIP_PER_BUS : 4
SERVICE_TIME : 0.3
NUMBER_OF_BUSES : 357
MIN_BUS_UTILIZATION : 30
NUMBER_OF_SCHOOLS : 18
SPEED : 70 
BUS_CAPACITIES
1	22
2	22
3	22
4	22
5	22
6	22
7	22
8	22
9	26
10	26
11	26
12	26
13	26
14	26
15	26
16	26
17	26
18	26
19	26
20	26
21	26
22	26
23	26
24	26
25	26
26	26
27	26
28	26
29	26
30	26
31	32
32	32
33	32
34	32
35	32
36	32
37	32
38	32
39	32
40	32
41	32
42	32
43	32
44	32
45	32
46	32
47	32
48	32
49	54
50	54
51	54
52	22
53	22
54	22
55	22
56	22
57	22
58	22
59	22
60	26
61	26
62	26
63	26
64	26
65	26
66	26
67	26
68	26
69	26
70	26
71	26
72	26
73	26
74	26
75	26
76	26
77	26
78	26
79	26
80	26
81	26
82	32
83	32
84	32
85	32
86	32
87	32
88	32
89	32
90	32
91	32
92	32
93	32
94	32
95	32
96	32
97	32
98	32
99	32
100	54
101	54
102	54
103	22
104	22
105	22
106	22
107	22
108	22
109	22
110	22
111	26
112	26
113	26
114	26
115	26
116	26
117	26
118	26
119	26
120	26
121	26
122	26
123	26
124	26
125	26
126	26
127	26
128	26
129	26
130	26
131	26
132	26
133	32
134	32
135	32
136	32
137	32
138	32
139	32
140	32
141	32
142	32
143	32
144	32
145	32
146	32
147	32
148	32
149	32
150	32
151	54
152	54
153	54
154	22
155	22
156	22
157	22
158	22
159	22
160	22
161	22
162	26
163	26
164	26
165	26
166	26
167	26
168	26
169	26
170	26
171	26
172	26
173	26
174	26
175	26
176	26
177	26
178	26
179	26
180	26
181	26
182	26
183	26
184	32
185	32
186	32
187	32
188	32
189	32
190	32
191	32
192	32
193	32
194	32
195	32
196	32
197	32
198	32
199	32
200	32
201	32
202	54
203	54
204	54
205	22
206	22
207	22
208	22
209	22
210	22
211	22
212	22
213	26
214	26
215	26
216	26
217	26
218	26
219	26
220	26
221	26
222	26
223	26
224	26
225	26
226	26
227	26
228	26
229	26
230	26
231	26
232	26
233	26
234	26
235	32
236	32
237	32
238	32
239	32
240	32
241	32
242	32
243	32
244	32
245	32
246	32
247	32
248	32
249	32
250	32
251	32
252	32
253	54
254	54
255	54
256	22
257	22
258	22
259	22
260	22
261	22
262	22
263	22
264	26
